Epoch 1/100, Train Loss: 0.6227353885769844, Validation Loss: 0.3593601770699024, Precision: 0.8178294573643411, Recall: 0.561974380395433, F1: 0.6473544208838325, Accuracy: 0.7142857142857143
Epoch 2/100, Train Loss: 0.21296384769181412, Validation Loss: 0.1833079233765602, Precision: 0.8177083333333334, Recall: 0.7864243943191312, F1: 0.8007511233317685, Accuracy: 0.9411764705882353
Epoch 3/100, Train Loss: 0.11167040591438611, Validation Loss: 0.13280196115374565, Precision: 0.8333333333333334, Recall: 0.7867307156780842, F1: 0.8091221547361899, Accuracy: 0.9495798319327731
Epoch 4/100, Train Loss: 0.061084753399093944, Validation Loss: 0.10700544435530901, Precision: 0.8333333333333334, Recall: 0.8110693400167085, F1: 0.8219389294213602, Accuracy: 0.9747899159663865
Epoch 5/100, Train Loss: 0.03437327787590524, Validation Loss: 0.10080945817753673, Precision: 0.8333333333333334, Recall: 0.8015455304928989, F1: 0.8169088628858744, Accuracy: 0.957983193277311
Epoch 6/100, Train Loss: 0.020634898465747634, Validation Loss: 0.08670053957030177, Precision: 0.8333333333333334, Recall: 0.8190058479532164, F1: 0.8260039700717666, Accuracy: 0.9831932773109243
Epoch 7/100, Train Loss: 0.01284707491286099, Validation Loss: 0.08609678270295262, Precision: 0.8333333333333334, Recall: 0.8039264828738513, F1: 0.8180488668757534, Accuracy: 0.9663865546218487
Epoch 8/100, Train Loss: 0.009125157391342025, Validation Loss: 0.08192336186766624, Precision: 0.8333333333333334, Recall: 0.8094820384294068, F1: 0.8210736702635332, Accuracy: 0.9747899159663865
Epoch 9/100, Train Loss: 0.006751414768708249, Validation Loss: 0.07703741570003331, Precision: 0.8333333333333334, Recall: 0.8190058479532164, F1: 0.8260039700717666, Accuracy: 0.9831932773109243
Epoch 10/100, Train Loss: 0.005263223339958737, Validation Loss: 0.07708807685412467, Precision: 0.8333333333333334, Recall: 0.8094820384294068, F1: 0.8210736702635332, Accuracy: 0.9747899159663865
Epoch 11/100, Train Loss: 0.00419969178037718, Validation Loss: 0.07779350597411394, Precision: 0.8333333333333334, Recall: 0.8094820384294068, F1: 0.8210736702635332, Accuracy: 0.9747899159663865
Epoch 12/100, Train Loss: 0.003419852629303932, Validation Loss: 0.07716332376003265, Precision: 0.8333333333333334, Recall: 0.8094820384294068, F1: 0.8210736702635332, Accuracy: 0.9747899159663865
Epoch 13/100, Train Loss: 0.0029938735087246945, Validation Loss: 0.07752010808326304, Precision: 0.8333333333333334, Recall: 0.8094820384294068, F1: 0.8210736702635332, Accuracy: 0.9747899159663865
