Epoch 1/100, Train Loss: 0.7087946554025014, Validation Loss: 0.5192001610994339, Precision: 0.5, Recall: 0.17702589807852964, F1: 0.24013557737260405, Accuracy: 0.31092436974789917
Epoch 2/100, Train Loss: 0.3122496594985326, Validation Loss: 0.25630728900432587, Precision: 0.826388888888889, Recall: 0.7398635477582847, F1: 0.7797195463862131, Accuracy: 0.8823529411764706
Epoch 3/100, Train Loss: 0.14341322630643843, Validation Loss: 0.18786318227648735, Precision: 0.8333333333333334, Recall: 0.767683096630465, F1: 0.7983668857086578, Accuracy: 0.907563025210084
Epoch 4/100, Train Loss: 0.08327422713239988, Validation Loss: 0.1406206488609314, Precision: 0.8222222222222223, Recall: 0.7707741576162629, F1: 0.7953632203632205, Accuracy: 0.9411764705882353
Epoch 5/100, Train Loss: 0.053693977370858195, Validation Loss: 0.1260716263204813, Precision: 0.8333333333333334, Recall: 0.7827624617098302, F1: 0.8069616609090294, Accuracy: 0.9327731092436975
Epoch 6/100, Train Loss: 0.03417267402013143, Validation Loss: 0.12078695744276047, Precision: 0.8333333333333334, Recall: 0.7772069061542747, F1: 0.8038288288288289, Accuracy: 0.9243697478991597
Epoch 7/100, Train Loss: 0.02236429260422786, Validation Loss: 0.10971923731267452, Precision: 0.8333333333333334, Recall: 0.7772069061542747, F1: 0.8038288288288289, Accuracy: 0.9243697478991597
Epoch 8/100, Train Loss: 0.015844214148819445, Validation Loss: 0.10018937196582556, Precision: 0.8333333333333334, Recall: 0.7978418267891952, F1: 0.815069225803689, Accuracy: 0.9495798319327731
Epoch 9/100, Train Loss: 0.011886524719496567, Validation Loss: 0.10085284896194935, Precision: 0.8333333333333334, Recall: 0.7883180172653858, F1: 0.8099864642968092, Accuracy: 0.9411764705882353
Epoch 10/100, Train Loss: 0.00941584063693881, Validation Loss: 0.09934195131063461, Precision: 0.8333333333333334, Recall: 0.7938735728209413, F1: 0.8129087319765286, Accuracy: 0.9495798319327731
Epoch 11/100, Train Loss: 0.007293184753507376, Validation Loss: 0.09303503483533859, Precision: 0.8333333333333334, Recall: 0.8071010860484545, F1: 0.8198311305655938, Accuracy: 0.957983193277311
Epoch 12/100, Train Loss: 0.006146935916816195, Validation Loss: 0.09402750991284847, Precision: 0.8333333333333334, Recall: 0.7978418267891952, F1: 0.815069225803689, Accuracy: 0.9495798319327731
Epoch 13/100, Train Loss: 0.00510533998409907, Validation Loss: 0.09436662215739489, Precision: 0.8333333333333334, Recall: 0.7978418267891952, F1: 0.815069225803689, Accuracy: 0.9495798319327731
Epoch 14/100, Train Loss: 0.0043302718239525955, Validation Loss: 0.09349057264626026, Precision: 0.8333333333333334, Recall: 0.7922862712336397, F1: 0.8121469581239696, Accuracy: 0.9411764705882353
Epoch 15/100, Train Loss: 0.0038769468665122986, Validation Loss: 0.09374512918293476, Precision: 0.8333333333333334, Recall: 0.7978418267891952, F1: 0.815069225803689, Accuracy: 0.9495798319327731
